[2024-03-30 06:39:49,275] [INFO] Directory created at 'artifacts/data_preprocessing'.
[2024-03-30 06:39:49,334] [INFO] Imputed missing values with median
[2024-03-30 06:39:49,342] [INFO] Scaled data using MinMaxScaler
[2024-03-30 06:39:49,346] [INFO] Splitted data into training and test sets
[2024-03-30 06:39:49,346] [INFO] Training data shape: (2457, 10)
[2024-03-30 06:39:49,346] [INFO] Testing data shape: (819, 10)
[2024-03-30 06:39:49,538] [INFO] Saved data to artifacts/data_preprocessing
[2024-03-30 06:39:49,538] [INFO] ======= Data Preprocessing stage completed successfully ======
[2024-03-30 06:39:56,038] [INFO] Logger configured successfully.
[2024-03-30 06:39:59,335] [INFO] ============= Starting Model Trainer stage ==============
[2024-03-30 06:39:59,342] [INFO] YAML file 'config\config.yaml' loaded successfully.
[2024-03-30 06:39:59,347] [INFO] YAML file 'params.yaml' loaded successfully.
[2024-03-30 06:39:59,352] [INFO] YAML file 'schema.yaml' loaded successfully.
[2024-03-30 06:39:59,353] [INFO] Directory created at 'artifacts'.
[2024-03-30 06:39:59,354] [INFO] Directory created at 'artifacts/model_trainer'.
[2024-03-30 06:39:59,407] [INFO] Training LogisticRegression...
[2024-03-30 06:39:59,599] [INFO]  - LogisticRegression Cross-Validation Accuracy: 0.61
[2024-03-30 06:39:59,630] [INFO]  - LogisticRegression Test Accuracy: 0.61
[2024-03-30 06:39:59,631] [INFO] Training RandomForestClassifier...
[2024-03-30 06:40:46,757] [INFO]  - RandomForestClassifier Cross-Validation Accuracy: 0.65
[2024-03-30 06:40:54,818] [INFO]  - RandomForestClassifier Test Accuracy: 0.66
[2024-03-30 06:40:54,818] [INFO] Training SVM...
[2024-03-30 06:40:58,689] [INFO]  - SVM Cross-Validation Accuracy: 0.67
[2024-03-30 06:40:59,580] [INFO]  - SVM Test Accuracy: 0.66
[2024-03-30 06:40:59,580] [INFO] Training GaussianNB...
[2024-03-30 06:40:59,614] [INFO]  - GaussianNB Cross-Validation Accuracy: 0.62
[2024-03-30 06:40:59,615] [INFO] Training AdaBoostClassifier...
[2024-03-30 06:41:04,893] [INFO]  - AdaBoostClassifier Cross-Validation Accuracy: 0.60
[2024-03-30 06:41:04,897] [INFO] Dictionary written to 'params.yaml' successfully.
[2024-03-30 06:41:04,908] [INFO] ======= Model Trainer stage completed successfully ======
